admin_id,registration_id,Manufacturer,registration,aircraft_id
1,12473,Let ,9XR-AL,1217
1,4203,British Aerospace,SE-LNT,2272
1,4121,British Aerospace,G-EEST,1560
1,12941,Lockheed ,3603,392
1,12313,Learjet ,N666TW,983
1,4163,British Aerospace,N45BP,1366
1,1726,Antonov ,ST-SAR,579
1,11274,Grumman ,N70258,2065
1,2712,Boeing ,4X-ICM,2273
1,6054,Convair ,ZK-KFU,2274
1,13413,Lockheed ,N299MA,2051
1,1408,Antonov ,RA-01440,702
1,1897,Antonov ,YV-1128C,702
1,1903,Antonov ,YV-901C,300
1,5045,Cessna ,5Y-BOY,1520
1,11001,Fokker ,PT-TVA,843
1,3271,Boeing ,JA8191,2275
1,10667,Fairchild ,LV-MGV,796
1,4209,British Aerospace,XA-ISH,1631
1,5452,Cessna ,N791FE,1647
1,1268,Antonov ,ER-AJG,1587
1,1246,Antonov ,EK11997,1031
1,375,Airbus ,PT-MZL,2136
1,7285,De Havilland Canada,VP-FBB,1420
1,14292,Short ,8R-GMC,2276
1,12326,Learjet ,N77JL,947
1,3330,Boeing ,N178UA,1702
1,1723,Antonov ,ST-SAA,1031
1,5337,Cessna ,N418MA,1430
1,14633,Swearingen ,N332BA,1264
1,10156,Douglas ,ZS-BXF,10
1,11503,Hawker ,D2-EXR,2277
1,362,Airbus ,OO-DLL,2278
1,605,Antonov ,9T-TAD,1218
1,14637,Swearingen ,N439AF,2167
1,3951,Boeing ,ZS-OOS,2279
1,12439,Let ,5N-BFL,1762
1,14647,Swearingen ,N60U,1264
1,7454,Dornier ,LN-HTA,2280
1,2514,Beech ,N85BK,1544
1,10793,Fokker ,5Y-NNN,1381
1,6742,De Havilland Canada,98-0057,2281
1,4564,Britten-Norman,RP-C868,1157
1,3613,Boeing ,OB-1544-P,2282
1,6896,De Havilland Canada,C-GOFF,2283
1,2406,Beech ,N399CZ,848
1,4690,CASA ,F-RAIA,2284
1,13815,McDonnell Douglas,N364FE,2285
1,7535,Douglas Aircraft Company,HK-4246X,2286
1,3834,Boeing ,TR-LFZ,1694
1,3742,Boeing ,PR-GOO,2287
1,5514,Cessna ,N9469B,1647
1,3165,Boeing ,G-EZJM,2288
1,12303,Learjet ,N600XJ,1052
1,2693,Boeing ,3X-GDO,2028
1,5069,Cessna ,7Q-YKU,1687
1,9449,Douglas ,N781T,64
1,13798,McDonnell Douglas,JA8297,1329
1,2188,Beech ,C-GFKS,1128
1,3791,Boeing ,SU-ZCF,2205
1,10932,Fokker ,OE-LFO,2289
1,7184,De Havilland Canada,P2-KSG,971
1,13204,Lockheed ,85-0010,2290
1,15420,Yakovlev ,UK-87985,916
1,3094,Boeing ,EP-IAC,2291
1,5091,Cessna ,C-FAGA,1687
1,7229,De Havilland Canada,PK-WAX,971
1,14588,Swearingen ,I-BSTI,2292
1,6506,Dassault ,N200JE,752
1,11964,Ilyushin ,ER-ICJ,748
1,2120,Beech ,7T-VIN,1880
1,14576,Swearingen ,EC-HCU,1264
1,3828,Boeing ,TJ-AIO,1252
1,11968,Ilyushin ,EX-005,748
1,5639,Cessna ,VH-CYC,1520
1,10867,Fokker ,EP-LCA,1787
1,5257,Cessna ,N1276P,1687
1,4183,British Aerospace,OY-MUE,2293
1,6895,De Havilland Canada,C-GOFB,1799
1,13801,McDonnell Douglas,LV-WPY,1329
1,12220,Learjet ,N24RZ,983
1,3162,Boeing ,G-BVKC,2294
1,5538,Cessna ,OE-FAN,1102
1,2989,Boeing ,C-GNWN,2174
1,2653,Beech ,Z3-BAB,1206
1,177,Airbus ,AP-BBA,1177
1,7133,De Havilland Canada,N702PV,971
1,12056,Ilyushin ,UR-ZVA,1698
1,13337,Lockheed ,L8-2/23,1092
1,7449,Dornier ,HC-CBK,1876
1,11947,Ilyushin ,CU-T1532,748
1,5664,Cessna ,XA-TBJ,1687
1,4877,Canadair ,F-ZBEZ,2013
1,5013,Cessna ,165938,2295
1,5151,Cessna ,D-IMMM,2296
1,2371,Beech ,N27RA,1469
1,5027,Cessna ,5H-MUA,1687
1,12330,Learjet ,N800AW,1245
1,5632,Cessna ,V3-HGB,1687
1,225,Airbus ,EI-CPE,2297
1,3159,Boeing ,G-BNLK,2159
1,2601,Beech ,VH-NTH,1465
1,1507,Antonov ,RA-33596,621
1,2318,Beech ,N149CJ,1880
1,3781,Boeing ,SU-AVZ,1023
1,5815,Convair ,3D-ZOE,609
1,1255,Antonov ,EP-837,1914
1,1772,Antonov ,UN-26582,1474
1,14046,Raytheon ,N200PR,2249
1,4578,Britten-Norman,V3-HGK,1215
1,2378,Beech ,N301KS,1685
1,2265,Beech ,F-OHJL,2068
1,12240,Learjet ,N355UJ,1384
1,2162,Beech ,C-FMAI,1128
1,13795,McDonnell Douglas,I-DAWR,1588
1,5429,Cessna ,N738FX,1647
1,10923,Fokker ,N715FE,883
1,3840,Boeing ,UR-VVB,2298
1,7591,Douglas Aircraft Company,N189AX,1853
1,15434,Yakovlev ,YV-1070CP,916
1,5683,Cessna ,YV-O-CBL-7,1687
1,14586,Swearingen ,HK-4275X,1390
1,4616,Britten-Norman,XC-FOE,1475
1,12474,Let ,9XR-EF,1217
1,14716,Transall ,R-100/61-ZR,1970
1,9324,Douglas ,N44911,1111
1,93,ATR ,N438AT,1870
1,1728,Antonov ,ST-SIG,1031
1,10364,Embraer ,PT-WRO,1911
1,6716,De Havilland Canada,8Q-TMC,971
1,11736,Ilyushin ,4K-AZ27,1539
1,1774,Antonov ,UN-70276,724
1,12449,Let ,5Y-VVD,2021
1,12447,Let ,5Y-VVA,2098
1,6763,De Havilland Canada,9N-AFD,971
1,14053,Raytheon ,N5010X,2249
1,4117,British Aerospace,G-BPNT,1815
1,606,Antonov ,9XR-SN,1674
1,1794,Antonov ,UR-07194,702
1,2140,Beech ,AP-BEX,1748
1,1713,Antonov ,ST-ARO,1474
1,11583,Hawker ,TR-LFW,647
1,2340,Beech ,N200BE,1206
1,15291,Volpar ,N401CK,959
1,6899,De Havilland Canada,C-GPPL,304
1,10831,Fokker ,AP-AUR,449
1,8925,Douglas ,HK-1212,120
1,7481,Dornier ,TF-ELH,1623
1,12689,Lisunov ,RA-1300K,34
1,1727,Antonov ,ST-SAT,1031
1,2665,Beech ,ZS-NRW,1206
1,6704,De Havilland Canada,8P-MLK,971
1,2417,Beech ,N432FA,1206
1,11686,IAI ,N280AT,1521
1,6836,De Havilland Canada,C-FMOL,971
1,1415,Antonov ,RA-02230,621
1,4897,Canadair ,I-SRMB,902
1,5933,Convair ,N4826C,633
1,2168,Beech ,C-FQOV,1104
1,12338,Learjet ,N829CA,1245
1,1856,Antonov ,YL-KAB,1587
1,12297,Learjet ,N55LF,1384
1,7710,Douglas Aircraft Company,XA-BCS,1108
1,2089,Basler ,FAS117,1986
1,2638,Beech ,YV-910CP,2299
1,11033,Fokker ,TC-IEC,1586
1,14146,Rockwell ,XC-PFN,2300
1,7185,De Havilland Canada,P2-MBA,971
1,1274,Antonov ,ES-ELI,1587
1,4678,CASA ,ARBV-0206,2301
1,3015,Boeing ,CP-2425,2302
1,11297,Grumman ,XB-JHH,2303
1,2692,Boeing ,3X-GCM,1511
1,5945,Convair ,N586P,609
1,9235,Douglas ,N22RB,6
1,9178,Douglas ,N130D,64
1,5201,Cessna ,HP-1397APP,1687
1,2338,Beech ,N199GL,848
1,5067,Cessna ,5Y-TWH,1687
1,14309,Short ,FAV-1652,2304
1,14898,Tupolev ,RA-65080,1557
1,14914,Tupolev ,RA-85556,1333
1,5453,Cessna ,N792MA,2305
1,7062,De Havilland Canada,N197TT,304
1,14426,Sud Aviation,3D-KIK,1559
1,12275,Learjet ,N47MR,983
1,1797,Antonov ,UR-11765,608
1,2107,Beech ,5N-PTL,1880
1,14224,Sabreliner,XA-TFD,2306
1,14701,Swearingen ,ZS-OLS,1390
1,11737,Ilyushin ,4K-AZ31,1539
1,1283,Antonov ,EW-47808,969
