accident_id,admin_id,accd_date,location,Fatalities,registration_id,cat,Country,aircraft_id
2164,1,05/23/1959,Bilibino Air...,0,4964,A1,Russia,34
2165,1,05/29/1959,near Khartoum-Civ...,5,13669,A1,Sudan,68
2166,1,06-01-1959,within Nicaragua,2,13694,C1,Nicaragua,42
2167,1,06-03-1959,RAF Watton A...,0,14826,O1,U.K.,426
2168,1,06-07-1959,near Libya,0,884,A1,Mediterranean Sea,149
2169,1,06-08-1959,Calcutta-Dum...,0,6679,A2,India,422
2170,1,06-10-1959,"Mormugao, Goa",8,11639,A1,India,339
2171,1,06/14/1959,unknown,0,6033,A1,Unknown country,32
2172,1,06/18/1959,Deputatskiy ...,0,4684,A1,Russia,34
2173,1,06/20/1959,near Prescott Air...,0,10234,A1,USA,427
2174,1,06/21/1959,New York-Idl...,0,6680,A2,USA,422
2175,1,06/21/1959,Athens-Ellin...,0,463,A1,Greece,102
2176,1,06/22/1959,Shannon Airp...,0,9739,A1,Ireland,428
2177,1,06/22/1959,Roswell-Walk...,0,1735,O1,USA,378
2178,1,06/23/1959,,0,13462,U1,Unknown country,7
2179,1,06/23/1959,Cerro Baco,14,7220,A1,Peru,54
2180,1,06/23/1959,,0,13421,U1,Unknown country,7
2181,1,06/25/1959,Yurgarga Riv...,0,3973,A1,Russia,109
2182,1,06/26/1959,near Milano,68,10420,A1,Italy,429
2183,1,06/30/1959,near Prince Ruper...,1,98,A1,Canada,265
2184,1,07-01-1959,Istanbul-Yes...,0,6930,A1,Turkey,12
2185,1,07-02-1959,near Puvirnituq A...,0,5066,A1,Canada,321
2186,1,07-03-1959,Gan RAF Stat...,0,13678,A1,Maldives,68
2187,1,07-03-1959,near Córdoba-Paja...,0,13366,A1,Argentina,32
2188,1,07-06-1959,near Shreveport-B...,0,1241,A1,USA,106
2189,1,07-09-1959,Tokyo-Haneda...,0,11049,A1,Japan,126
2190,1,07-10-1959,San José-La ...,0,13693,A1,Costa Rica,42
2191,1,07/14/1959,Santiago del...,0,8000,A1,Argentina,10
2192,1,07/15/1959,near Kuwait City,0,5881,A1,Kuwait,158
2193,1,07/15/1959,near Babaçulândia...,2,12394,A1,Brazil,2
2194,1,07/19/1959,Mumbai (Bombay),0,14319,A1,India,168
2195,1,07/22/1959,"near Andover, NH",7,1500,A1,USA,230
2196,1,07/24/1959,Kapidag Yari...,5,6931,A1,Turkey,380
2197,1,07/28/1959,Southend Mun...,0,6553,A1,U.K.,139
2198,1,07/30/1959,Palmdale Air...,0,224,U1,USA,430
2199,1,08-02-1959,Pittsburgh I...,0,9019,O1,USA,431
2200,1,08-03-1959,Sagone,6,14312,A1,India,10
2201,1,08-04-1959,"Moose Creek, ID",3,10830,A2,USA,432
2202,1,08-07-1959,El Palomar A...,0,13413,A1,Argentina,290
2203,1,08-10-1959,Khabarovsk r...,9,4440,A1,Russia,36
2204,1,08-10-1959,near Pevek Airpor...,7,3970,A1,Russia,36
2205,1,08/14/1959,Karachi Inte...,2,3097,A1,Pakistan,425
2206,1,08/15/1959,near Calverton-Pe...,5,10513,A1,USA,433
2207,1,08/15/1959,San Isidro d...,1,13688,A1,Costa Rica,434
2208,1,08/19/1959,near Barcelona,32,6636,A1,Spain,5
2209,1,08/21/1959,"Burbank, CA",0,11131,O1,USA,249
2210,1,08/23/1959,Saint Kitts-...,0,14137,A1,St. Kitts and Nevis,313
2211,1,08/27/1959,near Asunción-Sil...,2,8016,A1,Paraguay,435
2212,1,08/27/1959,Maringá Airp...,0,12141,A1,Brazil,10
2213,1,08/29/1959,,0,4680,A1,Russia,36
2214,1,09-02-1959,Abiline-Dyes...,2,9783,A1,USA,52
2215,1,09-02-1959,Moskva-Vnuko...,0,4628,A1,Russia,436
2216,1,09-05-1959,"near Traliceto, C...",0,6151,A1,France,38
2217,1,09-08-1959,Poza Rica,1,14600,C2,Mexico,24
2218,1,09-12-1959,near Mercedes,3,10961,A1,Honduras,54
2219,1,09/15/1959,Cape Hallett,0,440,A1,Antarctica,97
2220,1,09/16/1959,Oederquart,4,6937,A1,Germany,380
2221,1,09/21/1959,near Salvador Air...,6,2416,A1,Brazil,437
2222,1,09/21/1959,Saigon,0,6159,A1,Vietnam,304
2223,1,09/23/1959,near São Paulo-Co...,20,12292,A1,Brazil,438
2224,1,09/24/1959,near Bordeaux-Mér...,54,6193,A1,France,360
2225,1,09/24/1959,Great Sitkin...,16,10104,A1,USA,75
2226,1,09/25/1959,Jeddah Airport,0,7614,A1,Saudi Arabia,18
2227,1,09/29/1959,"near Buffalo, TX",34,11239,A1,USA,412
2228,1,09/29/1959,,0,13440,U1,Unknown country,7
2229,1,09/29/1959,São Paulo-Co...,0,12150,A2,Brazil,2
2230,1,09/29/1959,São Paulo-Co...,0,12135,A2,Brazil,53
2231,1,10-02-1959,near Petropavlovs...,4,4675,A1,Russia,36
2232,1,10-03-1959,near Toronto-Malt...,0,5128,A1,Canada,439
2233,1,10/15/1959,"Leitchfield, KY",4,1744,A1,USA,378
2234,1,10/17/1959,Baiyer River...,0,13982,A1,P.N. Guinea,23
2235,1,10/19/1959,"near Arlington, WA",4,10310,A1,USA,440
2236,1,10/19/1959,near Tangmere,2,14516,A1,U.K.,143
2237,1,10/22/1959,,0,1187,U1,Unknown country,12
2238,1,10/23/1959,near Moskva-Vnuko...,28,4264,A1,Russia,334
2239,1,10/26/1959,near Santa Maria ...,1,10204,A1,USA,6
2240,1,10/27/1959,near Karaganda Ai...,1,4691,A1,Kazakhstan,36
2241,1,10/29/1959,near Avlon Attiki,19,13320,A1,Greece,10
2242,1,10/30/1959,Bucks Elbow ...,26,9912,A1,USA,10
2243,1,11-04-1959,Te Whanga La...,0,11346,A1,New Zealand,145
2244,1,11-04-1959,near Saint-Cléoph...,5,5070,A1,Canada,18
2245,1,11-05-1959,near Cleveland-Bu...,0,9361,A1,USA,104
2246,1,11-07-1959,near Tainan,15,836,A1,Taiwan,32
2247,1,11-09-1959,"Ferreyra, CD",1,5654,A1,Argentina,375
2248,1,11/16/1959,near Lviv-Snilow ...,40,4068,A1,Ukraine,370
2249,1,11/16/1959,"near Pilottown, L...",42,9684,A1,Atlantic Ocean,326
2250,1,11/19/1959,,0,4686,A1,Russia,36
2251,1,11/21/1959,near Beirut Inter...,24,14987,A1,Lebanon,54
2252,1,11/22/1959,"near Ilha Rasa, RJ",2,12218,A1,Brazil,105
2253,1,11/22/1959,Sao Filipe A...,0,2168,A1,Cape Verde,257
2254,1,11/24/1959,near Chicago-Midw...,11,8269,A1,USA,390
2255,1,11/29/1959,Irkutsk Airp...,4,3923,A1,Russia,66
2256,1,12-01-1959,near Williamsport...,25,8656,A1,USA,27
2257,1,12-01-1959,near Caracas Airp...,3,15224,A1,Venezuela,8
2258,1,12-02-1959,Buenos Aires...,0,12225,H2,Argentina,63
2259,1,12-02-1959,near Oslo,4,986,A1,Norway,78
2260,1,12-04-1959,Aragarças Ai...,0,512,O1,Brazil,32
2261,1,12-08-1959,near Moron Island,45,7435,A1,Colombia,2
2262,1,12-12-1959,"near Mendoza, MD",0,8005,A1,Argentina,239
2263,1,12-12-1959,Luabo,0,6655,A1,Mozambique,441
2264,1,12-12-1959,Puerto de la...,0,3053,A1,Spain,442
2265,1,12/13/1959,"near Boysun, Surk...",30,4809,A1,Uzbekistan,334
2266,1,12/14/1959,"near Dow AFB, ME",0,1533,A1,USA,230
2267,1,12/15/1959,,0,939,A1,Unknown country,31
2268,1,12/17/1959,Gravina Isla...,3,10136,A1,USA,166
2269,1,12/17/1959,"Patipi Bay, ...",5,11636,A1,Indonesia,339
2270,1,12/17/1959,near Vilnius,1,4678,A1,Lithuania,36
2271,1,12/21/1959,Roma-Ciampin...,2,7706,A1,Italy,443
2272,1,12/22/1959,Agadir-Inezg...,0,6605,A1,Morocco,444
2273,1,12/22/1959,near Rio de Janei...,42,12297,A1,Brazil,445
2274,1,12/23/1959,Roma-Ciampin...,0,6684,A2,Italy,422
2275,1,12/24/1959,near Palembang,1,11882,A1,Indonesia,10
2276,1,12/29/1959,Brunswick NA...,0,264,A1,USA,338
2277,1,12/31/1959,San Jose de ...,11,5261,A1,Bolivia,10
2278,1,01-03-1960,near Taksing,9,14270,A1,India,10
2279,1,01-03-1960,Philadelphia...,0,8316,A1,USA,72
2280,1,01-04-1960,Dianopolis A...,0,12259,A1,Brazil,2
2281,1,01-04-1960,Gulf of Sirte,10,1626,A1,Libya,286
2282,1,01-05-1960,Malta-Luqa A...,0,6611,A1,Malta,250
2283,1,01-06-1960,"near Bolivia, NC",34,10773,C1,USA,125
2284,1,01-06-1960,Byrd Station,0,437,A1,Antarctica,182
2285,1,01-07-1960,London Airpo...,0,6664,A1,U.K.,351
2286,1,01-07-1960,Leningrad-Sh...,0,3924,A1,Russia,66
2287,1,01-12-1960,Plaridel Air...,0,11808,A1,Philippines,446
2288,1,01/13/1960,"near Minersville, UT",2,10199,A1,USA,447
2289,1,01/15/1960,near Ghardaïa,5,75,A1,Algeria,209
