admin_id,aircraft_id,type,Manufacturer,Military / Commercial
1,2141,BAe 3201 Jetstream 32EP,British Aerospace,C
1,2142,Concorde 101,Concorde ,C
1,2143,CASA C-212-AB10 Aviocar 300,CASA ,M
1,2144,Beech B100 Super King Air,Beech ,C
1,2145,Douglas AC-47/Basler 67,Douglas ,M
1,2146,Dornier Do 128-2 Skyservant,Dornier ,C
1,2147,Boeing 767-324ER,Boeing ,C
1,2148,Boeing 707-312B,Boeing ,C
1,2149,Boeing 767-2B7ER,Boeing ,C
1,2150,Antonov An-72,Antonov ,M
1,2151,Canadair Challenger 604,Canadair ,C
1,2152,Boeing 777-268,Boeing ,C
1,2153,Ilyushin Il-18D,Ilyushin ,M
1,2154,Boeing 747-412,Boeing ,C
1,2155,Boeing 747-2H7B (SCD),Boeing ,C
1,2156,BN-2B Islander,Britten-Norman,C
1,2157,Boeing 737-86N,Boeing ,C
1,2158,CASA C-212 Aviocar 300,CASA ,C
1,2159,Boeing 747-436,Boeing ,C
1,2160,Shaanxi Yunshuji Y-8,Shaanxi ,M
1,2161,Boeing 727-46F,Boeing ,C
1,2162,BN-2A-2 Islander,Britten-Norman,M
1,2163,CASA/Nurtanio NC-212 Aviocar,CASA ,M
1,2164,Boeing 727-287,Boeing ,C
1,2165,IPTN/CASA CN-235M-100,IPTN/CASA ,M
1,2166,Dornier 328-120,Dornier ,C
1,2167,Swearingen SA227-AT Merlin IVC,Swearingen ,C
1,2168,Shorts C-23B+ Sherpa (360),Short ,C
1,2169,Boeing 737-4D7,Boeing ,C
1,2170,Boeing 737-2E1F,Boeing ,C
1,2171,Embraer EMB-135LR (ERJ-135LR),Embraer ,C
1,2172,Boeing 727-44F,Boeing ,C
1,2173,IPTN/CASA CN-235MP-100M,IPTN/CASA ,M
1,2174,Boeing 737-210C,Boeing ,C
1,2175,Beech B300C Super King Air 350,Beech ,C
1,2176,Boeing 727-90C,Boeing ,M
1,2177,Transall C-160NG,Transall ,C
1,2178,Lockheed L-1011-385-1-14 TriStar 15,Lockheed ,C
1,2179,PZL-Mielec M28 Skytruck,PZL-Mielec ,C
1,2180,Airbus A330-243,Airbus ,C
1,2181,Boeing 727-2N8,Boeing ,C
1,2182,Boeing 717-231,Boeing ,C
1,2183,Boeing 747-368,Boeing ,C
1,2184,Boeing 737-3G7,Boeing ,C
1,2185,CASA CN-235-200,CASA ,C
1,2186,Boeing 777-236ER,Boeing ,C
1,2187,Boeing 707-323C,Boeing ,M
1,2188,Boeing 767-223ER,Boeing ,C
1,2189,Boeing 767-222,Boeing ,C
1,2190,Cessna 525A CitationJet CJ2,Cessna ,C
1,2191,Swearingen SA226-AT Merlin IVA,Swearingen ,C
1,2192,Embraer EMB-145LR (ERJ-145LR),Embraer ,C
1,2193,Boeing 727-22C,Boeing ,M
1,2194,NAMC YS-11A-214,NAMC ,C
1,2195,Airbus A321-231,Airbus ,C
1,2196,Alenia G-222RM,Alenia ,M
1,2197,Boeing 747-246F,Boeing ,C
1,2198,Dassault Falcon 100,Dassault ,C
1,2199,Boeing 737-53A,Boeing ,C
1,2200,Lockheed C-141C Starlifter,Lockheed ,C
1,2201,Airbus A330-223,Airbus ,C
1,2202,Boeing 747-128 (SF),Boeing ,C
1,2203,Lockheed KC-130R Hercules,Lockheed ,C
1,2204,Tupolev Tu-204-100,Tupolev ,C
1,2205,Boeing 737-3Q8,Boeing ,C
1,2206,Airbus A321-131,Airbus ,C
1,2207,Boeing 727-134,Boeing ,C
1,2208,Let L-410UVP-E3,Let ,M
1,2209,Hawker Siddeley HS-125-400B,Hawker ,C
1,2210,Lockheed MC-130P Combat Shadow,Lockheed ,M
1,2211,Gulfstream G-V,Gulfstream ,C
1,2212,Canadair CL-44D4,Canadair ,C
1,2213,DC-8-62 (F),McDonnell Douglas,C
1,2214,Canadair CRJ-200ER,Canadair ,C
1,2215,Boeing 727-30C,Boeing ,C
1,2216,BAC One-Eleven 523FJ,BAC ,C
1,2217,BAe BAe-748-400 Srs. 2B,British Aerospace,C
1,2218,Antonov An-72-100,Antonov ,C
1,2219,DC-10-40F,Douglas Aircraft Company,C
1,2220,T-39N Sabreliner,Sabreliner,M
1,2221,Rockwell T-39N Sabreliner,Rockwell ,M
1,2222,Beech Beechjet 400,Beech ,C
1,2223,Boeing 767-3Y0ER,Boeing ,C
1,2224,Boeing 747-209B,Boeing ,C
1,2225,BAe BAe-748-372 Srs. 2B,British Aerospace,C
1,2226,Airbus A300F4-605R,Airbus ,C
1,2227,Lockheed MC-130H Combat Talon II,Lockheed ,M
1,2228,Boeing 717-2K9,Boeing ,C
1,2229,Boeing 767-281,Boeing ,C
1,2230,Boeing 757-23APF,Boeing ,C
1,2231,Consolidated PB4Y-2 Super Privateer,Consolidated ,C
1,2232,Boeing 727-232F,Boeing ,C
1,2233,Lockheed L-1011 TriStar 250,Lockheed ,C
1,2234,Shaanxi Yunshuji Y-8B,Shaanxi ,M
1,2235,Boeing 737-7Q8,Boeing ,C
1,2236,Ilyushin Il-38,Ilyushin ,M
1,2237,Airbus A300B4-620,Airbus ,C
1,2238,Avro RJ85,Avro ,C
1,2239,Boeing 747-267B,Boeing ,C
1,2240,Dornier 228-200,Dornier ,C
1,2241,Beech C-12C Huron,Beech ,C
1,2242,Boeing 757-258ER,Boeing ,C
1,2243,Let L-410UVP-E20,Let ,C
1,2244,Boeing 757-3E7,Boeing ,C
1,2245,DHC-8-402Q Dash 8,De Havilland Canada,C
1,2246,Hawker Siddeley HS-125-1A-731,Hawker ,M
1,2247,Antonov An-140,Antonov ,C
1,2248,Boeing 727-173C,Boeing ,C
1,2249,Raytheon 390 Premier I,Raytheon ,C
1,2250,DHC-8-401Q Dash 8,De Havilland Canada,C
1,2251,Boeing 757-251,Boeing ,C
1,2252,Boeing 737-2M9,Boeing ,C
