registration,admin_id,aircraft_id,operator,registration_id
CF-ECN,1,8,McInnes Products,5007
N79982,1,17,Monarch Air Service,10660
EC-ADZ,1,87,Spanish AF,5683
92617,1,32,Hellenic AF,2638
44-78505,1,62,USAF,1103
44-78270,1,62,USAF,1098
44-78462,1,62,USAF,1101
CCCP-L1811,1,61,"Aeroflot, Moscow",4880
CCCP-L4359,1,36,"Aeroflot, West Siberia",4904
43-49384,1,12,USAF,1015
VR-HEP,1,88,Air Carriers,14223
N74685,1,9,National Airlines,10483
N93054,1,27,Northwest Orient Airlines,11123
42-72495,1,40,USAF,816
43-16287,1,12,USAF,913
49-083,1,89,USAF,1211
45-57781,1,14,USAF,1137
124227,1,90,US Navy,134
N1493V,1,44,Dutch Navy,8551
44-78473,1,62,USAF,1102
44-78029,1,62,USAF,1092
VH-MMK,1,64,MacRobertson Miller Airlines,14038
I-DALO,1,91,Alitalia,7666
PK-AKE,1,47,Bataafse Petroleum Mij.,11846
VH-TOA,1,13,Trans Oceanic Airways,14091
43-16102,1,32,USAF,901
PP107,1,30,RAF,12346
CCCP-L4715,1,36,"Aeroflot, Kazakstan",4926
XA-FUJ,1,92,LAMSA,14604
43-16397,1,12,USAF,916
HK-311,1,10,LANSA,7334
TF-ISG,1,10,Icelandair,13631
282,1,40,Portuguese AF,628
4803,1,3,Soviet AF,1203
F-BBDO,1,9,Air France,6107
124277,1,79,US Navy,139
T.2-47,1,93,Spanish AF,13435
DO-3,1,94,Finnish AF,5636
128725,1,95,USMC,185
17267,1,96,US Navy,453
CCCP-L4821,1,36,"Aeroflot, Uzbekistan",4930
F-OABK,1,10,Aigle Azur,6329
43-48920,1,31,USAF,973
HK-333,1,2,LANSA,7354
SZ598,1,15,RAF,13346
VX514,1,49,RAF,14480
17143,1,97,US Navy,435
PP-ITF,1,2,Comp. Itaú de Transportes Aéreos,12196
N59490,1,98,Slick Airways,9986
43-48293,1,99,USAF,941
44-78257,1,62,USAF,1097
N90664,1,100,Mid-Continent Airlines,11025
N19928,1,24,Mid-Continent Airlines,8742
43-48483,1,12,USAF,959
HS-POS,1,101,Pacific Overseas Airlines,7580
CCCP-L1319,1,61,"Aeroflot, West Siberia",4853
17523,1,102,RCAF,462
N91202,1,80,TWA,11067
WD478,1,103,RAF,14502
HK-315,1,104,LANSA,7336
PP-CCX,1,105,Cruzeiro do Sul,12169
49-244,1,106,USAF,1240
49-168,1,56,USAF,1228
CCCP-L4790,1,36,"Aeroflot, East Siberia",4929
42-72663,1,40,USAF,826
LV-ACY,1,10,Aerolineas Argentinas,8003
G-AJVZ,1,10,Air Transport Charter,6570
VH-CAQ,1,10,Australian CAA,13984
43-15691,1,32,USAF,885
CCCP-L4198,1,36,"Aeroflot, Latvia",4899
48-345,1,57,USAF,1196
VW187,1,49,RAF,14447
CCCP-L1313,1,61,"Aeroflot, Moscow",4852
N74644,1,75,Seaboard & Western,10479
SE-BBM,1,10,SAS,13052
HK-142,1,107,Avianca,7234
N63439,1,10,Southwest Airways,10106
48-0602,1,89,USAF,1192
43-48298,1,12,USAF,944
CCCP-L4467,1,34,"Aeroflot, East Siberia",4910
HS-SAE,1,6,Siamese Airways,7582
G-ALEU,1,108,UK Ministry of Supply,6585
VW833,1,49,RAF,14465
42-72734,1,40,USAF,829
TG552,1,68,RAF,13670
43-49751,1,31,USAF,1039
PP-LDC,1,2,Loide Aéreo Nacional,12200
43-49527,1,31,USAF,1026
T.2-141,1,7,Spanish AF,13423
T.2-160,1,7,Spanish AF,13425
CCCP-A2597,1,109,"Aeroflot, Krasnoyarsk",4841
FAC-671,1,19,Colombian AF,6459
CU-T188,1,54,Cubana,5382
43-49764,1,31,USAF,1040
CC-CYA-141,1,2,Lyon Air,3904
N16088,1,110,United Airlines,8596
44-78365,1,62,USAF,1099
44-77261,1,16,USAF,1077
42-101001,1,32,USAF,794
VW156,1,49,RAF,14439
VW828,1,49,RAF,14463
G-AHPD,1,111,Hunting Air Travel,6552
17114,1,97,US Navy,432
T.2-93,1,93,Spanish AF,13436
43-49266,1,78,USAF,1006
F-BDYE,1,112,Air Fret Transimax,6123
KG430,1,32,RCAF,7892
PP-LPC,1,10,L.A. Paulistas,12213
42-93720,1,32,USAF,846
PP-SPL,1,5,VASP,12277
39351,1,48,US Navy,734
49-232,1,106,USAF,1238
49-153,1,56,USAF,1223
49-2612,1,16,Hellenic AF,1244
56513,1,74,US Navy,1721
VX544,1,49,RAF,14487
43-48954,1,12,USAF,979
G-ADUH,1,113,Gulf Aviation,6527
PP-AGC,1,114,Aero Geral,12126
LV-AGE,1,10,Aerolineas Argentinas,8011
49-123,1,56,USAF,1215
48-350,1,57,USAF,1198
45-57761,1,14,USAF,1135
49-192,1,56,USAF,1235
PP-NAL,1,115,L.A. Transcontinental Brasileira,12216
48-398,1,116,USAF,1200
YU-ABE,1,10,JAT,15130
VH-EBW,1,117,Qantas,13994
HK-504,1,10,SAM,7427
122453,1,48,US Navy,118
85148,1,118,US Navy,2558
124253,1,90,US Navy,137
CCCP-H986,1,109,Dalstroi Aviation,4844
43-15600,1,32,USAF,882
LV-ADG,1,5,Aerolineas Argentinas,8004
N88846,1,63,Pan Am,10955
43-48416,1,31,USAF,952
VX498,1,49,RAF,14477
T.2-114,1,7,Spanish AF,13419
PP-CCK,1,8,Cruzeiro do Sul,12166
YU-ACE,1,112,JAT,15137
N2949,1,47,General Tire & Rubber Co.,9053
N37543,1,71,United Airlines,9320
43-15144,1,32,USAF,863
44-77269,1,16,USAF,1078
HK-126,1,8,Avianca,7198
44-76651,1,31,USAF,1070
CF-ETC,1,67,private,5014
PP-LPG,1,5,"L.A. Paulistas, op.for Loide Aéreo Nacional",12214
VT-CHT,1,5,Indamer,14276
VW194,1,49,RAF,14448
980/F-RAMM,1,12,French AF,2685
HS-POA,1,75,Siamese Airways,7579
SE-BTN,1,119,Airtaco,13058
48-342,1,57,USAF,1195
VW824,1,49,RAF,14461
F-BDRI,1,18,TAI,6121
N119A,1,72,Eastern Air Lines,8367
F-OABX,1,10,CATI,6330
CF-CPC,1,54,Canadian Pacific,4990
OO-CBA,1,120,Sabena,11559
F-BBYF,1,112,Autrex,6109
MM45497,1,121,Sottocentro Soccorso Cadimare,8189
VR-NAX,1,122,West African Airways,14230
CB-39,1,2,Loide Aéreo Nacional,3849
349667/FRBFL,1,12,French AF,699
2028,1,32,Brazilian AF,498
VH-TAT,1,10,TAA,14084
N74176,1,50,"Pan Am, lsf USAF",10455
N3908B,1,50,"All American Airways, lsf USAF",9367
F-BAXB,1,115,Air France,6093
43-49561,1,31,USAF,1034
VP283,1,123,RAF,14194
CCCP-L4314,1,36,"Aeroflot, Yakutsk",4901
45-57796,1,14,USAF,1139
49-0094,1,89,USAF,1209
HS-SAF,1,10,Siamese Airways,7583
CCCP-N566,1,109,"GUSMP, Directorate of Polar Aviation",4968
VP-JAT,1,124,Caribbean International,14170
42-100668,1,32,USAF,788
CCCP-L1271,1,36,"Aeroflot, Moscow",4848
N37550,1,125,United Airlines,9321
HJ913,1,19,Indian AF,7167
G-AGSN,1,51,Lancashire Aircraft Corp,6543
43-15994,1,32,USAF,894
XA-JOR,1,71,Mexicana,14626
N90662,1,100,Pan Am,11024
122976,1,70,US Navy,128
122978,1,70,US Navy,129
43-48134,1,32,USAF,931
CCCP-A2583,1,109,"Aeroflot, Ukraine",4840
PP-SPQ,1,5,VASP,12280
43-49261,1,31,USAF,1005
45-1089,1,31,USAF,1115
F-BEIZ,1,6,STAAP,6139
N31230,1,126,United Airlines,9136
K-41/OT-CWT,1,12,Belgian AF,7867
G780,1,127,Pakistan AF,6925
VT-CCA,1,10,Air-India,14264
N74689,1,17,Peninsular Air Transport,10485
VW813,1,49,RAF,14458
PP-YPX,1,8,REAL,12338
124235,1,90,US Navy,135
CCCP-N565,1,109,"GUSMP, Directorate of Polar Aviation",4967
T-37,1,128,Argentine AF,13382
349145/FRBFF,1,12,French AF,695
D-03,1,32,Czechoslovak AF,5414
49-169,1,56,USAF,1229
44-77713,1,62,USAF,1090
CB-43,1,17,Frigorífico Cooperativo Los Andes,3850
43-15932,1,32,USAF,891
CCCP-L4775,1,36,"Aeroflot, Krasnoyarsk",4928
N5545N,1,67,National Homes Corp.,9893
XA-GOR,1,10,ATSA,14610
FAC-616,1,44,Colombian AF,6441
43-48085,1,31,USAF,926
6519,1,60,Brazilian AF,2324
CCCP-L4416,1,36,"Aeroflot, Uralsk",4909
RN277,1,15,RAF,12922
122939,1,70,US Navy,124
ZS-AVJ,1,10,South African Airways,15393
49-2602,1,116,USAF,1243
CF-FOQ,1,129,Queen Charlotte Airlines,5025
YU-ABF,1,6,JAT,15131
CF-DXR,1,10,Hollinger Ungava Transport,5006
50-0178,1,89,USAF,1329
43-49040,1,12,USAF,990
T.2-169,1,7,Spanish AF,13427
YU-ACC,1,10,JAT,15136
48-413,1,116,USAF,1201
KN493,1,25,RAF,7903
G-AKCC,1,29,private,6572
961,1,19,Guatemala AF,2670
F-OAIY,1,130,Air Algérie,6336
43-15109,1,32,USAF,859
349384/FRBFR,1,12,French AF,696
N93039,1,27,Transocean Air Lines,11119
F-BCYL,1,8,CATI,6117
124283,1,79,US Navy,140
F-BEIV,1,10,STAC,6138
43-48911,1,31,USAF,972
43-49039,1,31,USAF,989
T-77,1,76,Argentine AF,13404
T.2-182,1,7,Spanish AF,13429
45-57801,1,14,USAF,1142
CCCP-L1360,1,61,"Aeroflot, Yakutsk",4858
VT-CKU,1,10,Airways (India),14279
SP-LKA,1,83,LOT,13133
SZ565,1,15,RAF,13341
CCCP-L1775,1,61,"Aeroflot, Moscow",4876
N79992,1,11,ONA,10661
N4002B,1,54,California Eastern,9395
TC-ACA,1,105,DHY,13532
43-16026,1,32,USAF,897
CBK-016,1,12,Turkish AF,3855
VT-AUO,1,10,Deccan Airways,14244
4X-ADN,1,54,El Al,1290
XA-DOQ,1,131,L.A. Unidas,14597
N25646,1,132,Eastern Air Lines,8939
I-LETR,1,8,LAI,7703
SP-LBE,1,34,LOT,13122
N17109,1,24,United Airlines,8640
CF-GPA,1,47,Canadian Veneers,5037
45-931,1,31,USAF,1152
42-100488,1,32,USAF,781
49-130,1,57,USAF,1218
124884,1,133,US Navy,147
HB-ILO,1,9,Swissair,7027
N1678M,1,50,"Miami Airlines, lsf USAF",8621
N59487,1,98,Robin Airlines,9985
RN294,1,15,RAF,12925
SU-AHH,1,134,Misrair,13262
PI-C2,1,10,Philippine Air Lines,11803
43-48144,1,32,USAF,935
I-LUCK,1,71,LAI,7707
42-6058,1,32,Turkish AF,811
CBK-20,1,32,Turkish AF,3858
43-48142,1,4,USAF,934
122972,1,70,US Navy,127
CCCP-L4228,1,36,"Aeroflot, Yakutsk",4900
43-49413,1,12,USAF,1017
N3944C,1,2,Continental Charters,9377
N68963,1,52,Transocean Air Lines,10236
44-76266,1,78,USAF,1057
VT-COA,1,10,Kalinga Airlines,14284
F-BAMQ,1,112,Air France,6085
VW185,1,49,RAF,14446
VP-JAW,1,135,Caribbean International,14171
49-150,1,56,USAF,1222
122443,1,48,US Navy,117
42-100912,1,32,USAF,792
CCCP-L4315,1,36,"Aeroflot, Azerbaijan",4902
EI-AFL,1,5,Aer Lingus,5784
N41718,1,10,General Airways,9474
43-16249,1,12,USAF,908
N91238,1,136,Northeast Airlines,11069
49-172,1,56,USAF,1230
51-008,1,89,USAF,1365
VW823,1,49,RAF,14460
N45342,1,137,Northwest Orient Airlines,9568
44-77407,1,62,USAF,1082
N94229,1,138,American Airlines,11160
N3927C,1,67,New York Car Wheel Co.,9373
342,1,19,Republic of China AF,688
51-001,1,89,USAF,1360
N1512V,1,18,"Loftleidir, op.for Seaboard & Western",8560
N94538,1,67,Indamer,11179
45-57791,1,14,USAF,1138
44-78373,1,62,USAF,1100
OO-CBN,1,10,Sabena,11561
VT-COK,1,10,Indian National Airways,14287
44-77508,1,62,USAF,1083
N90891,1,71,National Airlines,11043
45-932,1,31,USAF,1153
45-1078,1,31,USAF,1114
G-AHPI,1,139,Hunting Air Transport,6554
124289,1,79,US Navy,141
VT-AXE,1,10,Deccan Airways,14254
F-BEFX,1,140,STAAP,6129
44-78038,1,62,USAF,1094
VX492,1,49,RAF,14475
PP-VCB,1,2,Varig,12309
CCCP-L1849,1,66,"Aeroflot, Advanced Flying Training College",4882
42-93193,1,32,USAF,841
VW827,1,49,RAF,14462
HJ880,1,19,Indian AF,7166
PP-PCN,1,141,Panair do Brasil,12224
43-49226,1,78,USAF,1002
T.2-138,1,7,Spanish AF,13422
F-BCUM,1,65,Air France,6113
VW153,1,49,RAF,14438
42-100593,1,32,USAF,786
6053,1,32,Turkish AF,2127
PI-C5,1,10,Philippine Air Lines,11811
42-100502,1,32,USAF,783
43-16257,1,31,USAF,910
G-AMGL,1,142,Air Charter,6606
WF373,1,143,RAF,14515
44-77257,1,78,USAF,1076
1025,1,144,French Navy,76
43-49343,1,31,USAF,1013
TG562,1,68,RAF,13672
PP162,1,145,RAF,12351
PK-GCH,1,146,Garuda,11876
PK-RCR,1,10,Garuda,12034
50708,1,147,US Navy,1349
CF-BXZ,1,8,Maritime Central Airways,4985
PH-TPJ,1,71,KLM,11786
PH-TFF,1,148,KLM,11784
F-ARTE,1,67,SATT,6080
42-93513,1,149,USAF,844
N65143,1,18,Braniff Airways,10142
12417,1,97,US Navy,133
YV-C-AZU,1,6,TACA de Venezuela,15249
PI-C270,1,10,Philippine Air Lines,11805
LN-NAE,1,10,Fred Olsen Flyveselskap,7966
45-926,1,78,USAF,1150
50-1260,1,106,USAF,1337
N1911M,1,50,"USAF, op.for US Airlines",8719
CCCP-L1308,1,61,"Aeroflot, East Siberia",4849
17207,1,97,US Navy,446
F-BATB,1,65,Air France,6090
42-24181,1,32,USAF,808
43-17210,1,40,USAF,919
N93043,1,27,"Northwest Orient Airlines, op.for JAL",11121
42-93809,1,4,USAF,849
VT-DFN,1,10,Kalinga Airlines,14308
N88899,1,54,Pan Am,10957
124255,1,133,US Navy,138
N8404C,1,52,"Air Charters, op.for Robin Airlines",10821
KG416,1,43,RCAF,7891
43-48069,1,32,USAF,924
CCCP-L1312,1,61,"Aeroflot, West Siberia",4851
F-BELI,1,18,Air France,6141
N1039V,1,126,Pan Am,8279
43-15379,1,32,USAF,872
49-173,1,56,USAF,1231
VT-AUN,1,10,Deccan Airways,14243
44-77543,1,62,USAF,1085
CCCP-L4602,1,36,"Aeroflot, Yakutsk",4920
42-100560,1,32,USAF,785
F-BEIB,1,5,STAEO,6133
LN-NAD,1,10,Fred Olsen Flyveselskap,7965
980,1,12,RCAF,2684
PK-DPA,1,115,Garuda,11865
PP-SPM,1,5,VASP,12278
51-0055,1,89,USAF,1362
CF-FAN,1,124,Maritime Central Airways,5016
SP-LBD,1,34,LOT,13121
PP-LDE,1,2,Loide Aéreo Nacional,12202
