registration,admin_id,aircraft_id,operator,registration_id
F-BUOR,1,1105,SFAIR,6237
PK-ZAL,1,1157,Sabang Merauke Raya Air Charter,12114
N70003,1,10,Aviation Enterprises,10279
C-FOZO,1,835,Geoterrex,3489
PK-OBC,1,10,Airfast Indonesia,12018
G-BDFT,1,576,Leicester Aircraft Preservation,6788
CCCP-86007,1,1477,"Aeroflot, Moscow",4724
N6399U,1,1478,Wings West Airlines,10116
LZ-BAD,1,608,Balkan Bulgarian,8149
VT-EFK,1,1048,Indian Airlines,14381
9Q-CPD,1,439,Zaire Aero Service,2890
EP-IBS,1,1479,Iran Air,5907
TJ-CBD,1,1480,Cameroon Airlines,13711
S7-AAE,1,1148,Air Seychelles,13024
C-GCTC,1,1481,de Havilland Canada,3594
P2-ISG,1,1120,Talair,11686
ZS-LPI,1,372,Wonderair,15431
9Q-CAH,1,645,MMM Aero Services,2828
SP-AMK,1,300,APRL,13091
CCCP-91611,1,482,"Aeroflot, Leningrad",4811
OE-LSA,1,1264,Austrian Air Services,11498
HK-2380,1,606,LAC Colombia,7284
HC-BKN,1,1105,AECA,7101
D2-EAD,1,579,Angolan Government,5570
YA-LAS,1,1071,Ariana Afghan Airlines,15003
L2-4/90,1,32,Thai AF,7930
CCCP-47358,1,969,"Aeroflot, West Siberia",4402
C-GXFZ,1,1102,Air Niagara,3794
T-212,1,1218,Angolan AF,13368
XN817,1,1295,A & AEE,14847
N127MW,1,654,McCollum Aviation,8443
CCCP-35434,1,300,"Aeroflot, Kazakstan",4236
OE-FAP,1,1102,Grondmet Handels,11473
CCCP-55763,1,537,"Aeroflot, East Siberia",4454
N864CL,1,1052,Clay Lacy Aviation,10896
C-FPPL,1,722,Nahanni Air Services,3494
CCCP-85243,1,1271,"Aeroflot, East Siberia",4706
C-FAUS,1,722,Labrador Airways,3349
T.9-15,1,707,Spanish AF,13489
N16KL,1,166,Confederate Air Force,8637
CCCP-11405,1,735,Soviet AF,4092
TAM-46,1,1151,TAM,13506
N5488R,1,1286,NewCal Aviation,9869
N3433U,1,64,Atorie Air,9237
CCCP-86739,1,1315,Soviet AF,4738
RP-C138,1,5,Village Airways,12940
68-10946,1,649,USAF,2371
C9-TAI,1,1482,TTA,3844
N81MC,1,1483,Macton Corp.,10760
F-BYCU,1,10,Stellair,6248
G-HGGS,1,1332,Euroair,6862
HC-BCG,1,971,TAME Ecuador,7088
N2204S,1,10,Factury Buying Corp.,8846
F-156/61-ZV,1,841,French AF,6075
F-209/64-GI,1,1484,French AF,6076
C-GVCE,1,1128,Business Flights,3778
VH-ISI,1,1157,Snowy Mountains Hydro,14026
N833NA,1,1485,NASA,10808
CCCP-67225,1,1486,"Aeroflot, Central Region",4533
9K-AHG,1,1487,Kuwait Airways,2729
N96PB,1,1332,PBA,11238
F-ODSF,1,1021,Aviation Sans Frontières,6348
MAAW-01,1,1488,Malawi Army Air Wing,8188
N44828,1,347,Air Resorts Airlines,9540
CCCP-07861,1,109,"Aeroflot, Krasnoyarsk",4022
N4247A,1,1489,Cox Aircraft Corp.,9489
FAP-307,1,970,Peruvian AF,6501
5H-MRD,1,971,Air Tanzania,1870
N95TC,1,1209,Jet East,11216
9N-ABH,1,971,Royal Nepal Airlines,2783
CCCP-85338,1,1333,"Aeroflot, Krasnoyarsk",4715
N24ST,1,1083,Transamerica Airlines,8925
CCCP-67140,1,1217,"Aeroflot, North Kavkaz",4527
PK-GNI,1,830,Garuda,11901
N819EA,1,1136,Eastern Air Lines,10757
N4746,1,1254,Pan Am,9639
YA-GAY,1,971,Bakhtar Afghan,14997
10665,1,1490,Thai Navy,88
N357Q,1,1106,TPI,9282
N1863T,1,1491,Westinghouse Electric Corp.,8693
CCCP-06142,1,1357,MAP Moscow,3998
PK-RVT,1,350,Mandala Airlines,12048
L2-6/90/536,1,32,Thai AF,7934
B-434,1,680,CAAC,3286
VH-BFH,1,1176,Barrier Reef Airways,13972
CU-T899,1,748,Cubana,5398
N5532,1,412,Galaxy Airlines,9889
56-0501,1,392,USAF,1667
5,1,1492,Soviet AF,1317
CP-1276,1,1493,LAB,5184
HK-2638,1,1332,AIRES Colombia,7306
HK-1910,1,971,ACES,7275
CCCP-19716,1,537,"Aeroflot, Leningrad",4135
HP-659,1,708,Aviones de Panama,7535
N854U,1,915,Galaxy Airlines,10864
N568UP,1,1494,UPS,9933
CCCP-65910,1,1495,"Aeroflot, Belarus",4520
N72BS,1,1128,Lisa Flite Corporation,10400
VH-IGT,1,1496,Geelong Air Travel,14020
2373,1,1036,Brazilian AF,589
N926AX,1,813,Airborne Express,11107
N779XX,1,1497,TAG Aviation,10604
PK-VIO,1,1001,Dirgantara Air Services,12065
N4522V,1,1498,China Airlines,9563
EC-DDU,1,1199,Iberia,5731
TZ-ACT,1,680,Air Mali,13796
D-IGVN,1,1398,Alfred Wegener Inst.,5552
1620,1,1499,Saudi AF,408
55-3121,1,1500,USAF,1628
HK-2763,1,1420,ACES,7318
29 yellow,1,1501,Soviet AF,631
5A-DLR,1,843,Libyan Arab Airlines,1831
05 red,1,1310,Soviet AF,47
N540N,1,971,Seair Alaska,9854
64-0549,1,649,USAF,2281
833,1,1294,Sudan AF,2535
F-GDUA,1,1502,UTA,6268
61-0316,1,378,USAF,2134
E-240,1,1356,Argentine AF,5668
PK-OAN,1,1001,Airfast Indonesia,12016
N508SS,1,1264,Scheduled Skyways,9756
CCCP-44905,1,300,"Aeroflot, Yakutsk",4322
PK-VAA ?,1,1503,Pelita Air Service,12060
FAC-1140,1,1504,SATENA,6427
130330,1,1419,Canadian Armed Forces,197
130331,1,1419,Canadian Armed Forces,198
LV-ALW,1,1505,YPF,8019
HS-TBB,1,1506,Thai Airways,7588
CP-1489,1,1507,Carga Aéreo Transportada,5202
YN-BZF,1,420,Aeronica,15059
62-4496,1,816,USAF,2223
F-ZBAE,1,125,Securité Civile,6388
CCCP-65856,1,951,"Aeroflot, Estonia",4517
101 red,1,1218,Soviet AF,70
N865JA,1,708,Trans Island Airways,10905
N157U,1,1508,Perris Valley Paracenter,8584
N84857,1,135,Drilling Muds,10844
CCCP-50553,1,702,"Aeroflot, Krasnoyarsk",4425
N1181G,1,1509,Wrigley,8365
PK-KNE,1,1157,Bali Int. Air Service,11951
C9-AMV,1,803,TTA,3833
SP-DNR,1,300,Polskie Towarzystwo Geo.,13104
IN-131,1,1261,Indian Navy,7736
N10GE,1,1303,Target Development & Consulting Inc,8312
CCCP-04326,1,109,"Aeroflot, Tyumen",3977
C-GPCF,1,1155,Chilcotin Cariboo Aviation,3717
YV-84C,1,609,AVENSA,15212
CCCP-70218,1,537,"Aeroflot, Leningrad",4562
N181TG,1,742,General Aviation,8677
CCCP-29348,1,702,"Aeroflot, Yakutsk",4179
N148CP,1,1206,Jaradac International Corp.,8545
F-BSRL,1,1052,Euralair International,6224
CCCP-32028,1,537,"Aeroflot, Uzbekistan",4187
N69GT,1,705,Sultan Industries,10271
JY-AFW,1,1285,Alia,7857
TY-BBR,1,1510,Benin Government,13790
N64339,1,899,TWA,10125
N155PA,1,1466,Combs Airways,8577
CCCP-91783,1,702,"Aeroflot, Yakutsk",4816
LN-SUG,1,1511,Braathens,7984
PT-GJN,1,1243,TABA,12410
2457,1,649,Brazilian AF,604
N129AA,1,1000,American Airlines,8455
7053,1,1473,Brazilian AF,2423
CCCP-84724,1,537,"Aeroflot, East Siberia",4689
TC-JCB,1,1182,THY,13573
N168Z,1,5,Northern Peninsula Fisheries,8628
JW9009,1,1512,Tanzanian AF,7841
ST-AAR,1,449,Sudan Airways,13202
P2-ANG,1,1177,Air Niugini,11661
CCCP-55710,1,537,"Aeroflot, Krasnoyarsk",4451
N816EV,1,1513,"Evergreen International, op.for Air-India",10750
N2878F,1,451,Northern Pacific Transport,9035
HK-1340,1,24,LACOL Colombia,7217
CCCP-06255,1,537,"Aeroflot, Privolzhsk",4001
CCCP-85311,1,1333,"Aeroflot, Uzbekistan",4712
C-FIOD,1,304,Propair,3422
CCCP-55706,1,537,"Aeroflot, Georgia",4450
N712NA,1,587,NASA,10349
FAC-902,1,584,Colombian AF,6473
D-ICDS,1,1514,Dornier,5540
N2886D,1,595,Aries Aire,9038
Z-WHX,1,708,United Air Charters,15326
N726DA,1,1082,Delta Air Lines,10393
HK-2593,1,1332,AIRES Colombia,7301
PK-NUG,1,971,Merpati Nusantara,12003
N100HC,1,1206,Jet Fleet,8246
YR-PVU,1,537,Aviatia Utilitara,15113
7O-ACO,1,1453,Alyemda,2477
CP-1704,1,253,CAN,5215
N455JA,1,1515,ERA-Jet Alaska,9581
VH-WFE,1,1209,Wards Express,14105
OD-AFL,1,516,MEA,11450
OD-AGQ,1,945,MEA,11464
G-BGJL,1,1516,British Airtours,6802
N300WP,1,848,Bar Harbor Airlines,9091
59-1443,1,378,USAF,1793
N992SB,1,1478,Sunbird Airlines,11294
MM62131,1,1517,Italian AF,8215
P2-DNW,1,708,Douglas Airways,11674
CCCP-01789,1,724,"Aeroflot, Yakutsk",3934
YA-BAM,1,1174,Bakhtar Afghan,14990
N100ME,1,1108,Midwest Express,8248
AP-BCH,1,971,PIA,3125
N873LP,1,1245,Louisiana Pacific,10923
N339HA,1,1518,Henson Airlines,9226
N700DK,1,1020,Durakool,10281
I-302,1,1467,Angolan AF,7639
N674MA,1,1519,MarkAir,10202
CCCP-69321,1,579,MAP Kom na Amu APO,4552
P2-DNI,1,803,Douglas Airways,11670
N551CC,1,1520,Air Carriers Express,9884
PT-GKA,1,1121,Nordeste Linhas Aéreas,12414
9Q-CMD,1,591,African Air Charter,2875
VH-IWJ,1,1521,Pel-Air,14027
CP-1593,1,17,SABENI,5207
CCCP-87803,1,916,"Aeroflot, Georgia",4784
N3257,1,809,Mountain Air Cargo,9179
XY-ADS,1,843,Burma Airways,14961
JY-AGE,1,1522,Alia,7858
N923RC,1,1523,Ray Charles,11094
2302,1,1524,Brazilian AF,561
B-3606,1,1525,CAAC,3278
N456JA,1,947,ERA-Jet Alaska,9582
HK-2489,1,1206,Unknown,7292
N9241F,1,1520,Hermens Air,11095
N984HF,1,1526,Hardees Foods,11269
N784B,1,1509,Nabisco Brands,10626
542817,1,1527,US Navy,1611
A-1322,1,1528,Indonesian AF,2975
SU-AYH,1,1529,EgyptAir,13295
N104AR,1,1110,Gulfstream Aerospace,8293
CCCP-11747,1,735,Soviet AF,4095
PK-RLG,1,454,Mandala Airlines,12041
F-GCBC,1,1530,Air France,6259
D-IASN,1,1264,Delta Air,5534
EI-ASA,1,1531,Aer Lingus,5789
N15TW,1,1245,Corporate Air,8593
6888,1,32,South African AF,2384
6874,1,12,South African AF,2381
N950JW,1,865,Arrow Air,11194
F-BRNL,1,1052,Air Provence,6219
N723GL,1,1245,General Telephone,10383
TN-AEQ,1,1148,Aéro-Service,13733
HP-680,1,1001,Aviones de Panama,7538
G-AWNE,1,1133,British Airways,6763
YV-425C,1,8,AeroEjecutivos,15197
22,1,1492,Soviet AF,545
RAN-23,1,1532,Nepal Army,12878
5N-AXP,1,1505,Nigerian Government,1922
N711Y,1,64,Century Equipment,10346
CCCP-06101,1,300,Tselinny gorno-khimicheski kombinat,3997
C-GTPB,1,976,Borealis Exploration,3764
F-GBTC,1,1020,Air BG,6256
VT-EGD,1,1048,Indian Airlines,14387
SP-WON,1,537,ZUA,13179
HC-BAE,1,591,"SAETA, op.for Aerovias Guatemala",7083
C-GNNA,1,10,Austin Airways,3699
HZ-TFA,1,710,private,7638
IR-0222,1,677,Indonesian AF,7743
LV-JGR,1,1533,Aerolineas Argentinas,8055
CC-CCS,1,595,Aeroservicios Parrague,3876
PP-SME,1,891,VASP,12262
XA-IOR,1,1534,Aero California,14622
EI-BEM,1,1525,Aer Lingus,5795
C-GPYD,1,1535,Air Dale,3725
AP-AYW,1,1536,PIA,3119
9Q-CWT,1,1106,GLM Aviation,2919
CCCP-26095,1,1474,"Aeroflot, Belarus",4154
HK-3031,1,10,SAEP,7329
CCCP-41816,1,340,"Aeroflot, Central Region",4265
58-1010,1,1439,JASDF,1777
EP-IOK ?,1,843,NIOC,5913
N961VJ,1,857,USAir,11226
N821LG,1,1020,Seneca Sawmill,10770
CCCP-46423,1,764,"Aeroflot, Moscow",4367
N97DM,1,947,Flight International,11259
N39DM,1,1209,Flight International,9384
TT-PAB,1,392,Chad AF,13774
N1356P,1,1332,Simmons Airlines,8492
PK-NCF,1,1319,Merpati Nusantara,11992
N539Y,1,1286,Woods Air Service,9850
K2702,1,1537,Indian AF,7871
C-GYTC,1,1157,Phaega Corporation,3807
N37AP,1,64,Atorie Air,9335
C-FAGM,1,304,Goose Bay Air Services,3343
CCCP-11795,1,1038,MOM/Polyot,4096
K2729,1,1537,Indian AF,7875
HA-MBH,1,537,Ministry for Agriculture and Nutrition,6979
42,1,1218,Mozambique AF,779
XA-MEM,1,1450,Mexicana,14645
66-0211,1,794,USAF,2342
N54340,1,899,TWA,9858
800,1,1294,Sudan AF,2522
N50SK,1,1538,"Drayton Associates, op.for Integerresources & Drayton Ass.",9766
C-FSAT,1,124,Can-Air Services,3518
5A-DNF,1,1539,Jamahiriya Air Transport,1835
5A-DCS,1,971,Libyan Ministry of Agriculture,1813
5A-DNL,1,1539,Jamahiriya Air Transport,1839
5A-DLL,1,1315,Libyan Arab Rep. Air Force,1829
5A-DLP,1,843,Libyan Arab Airlines,1830
CCCP-87236,1,916,"Aeroflot, Privolzhsk",4741
CCCP-87301,1,916,"Aeroflot, Yakutsk",4743
7Q-YAY,1,1540,Malawi Police Force,2489
HK-2761,1,971,ACES,7317
AE-561,1,872,Peruvian Navy,3057
FAS302,1,1274,Salvadorian AF,6518
6855,1,12,South African AF,2379
CCCP-12962,1,850,"Aeroflot, Krasnoyarsk",4104
4R-ULD,1,1541,Air Lanka,1281
B-198,1,1542,China Airlines,3210
EC-DDV,1,1199,Iberia,5732
N577KA,1,1126,Barckley Airlines,9948
N55NJ,1,1033,My Wife Yacht Sales,9910
N6728J,1,1478,Centennial Airlines,10200
CCCP-87928,1,916,"Aeroflot, Tyumen",4792
19,1,747,French Navy,472
0750/4-G-46,1,1543,Argentine Navy,52
CCCP-85327,1,1333,"Aeroflot, Krasnoyarsk",4714
5R-MMC,1,32,Madagascar AF,1968
N551TR,1,1544,Unknown,9885
D2-THA,1,921,TAAG,5606
SU-GAD,1,883,Air Sinai,13307
G-BGPC,1,971,Loganair,6803
C-FZZM,1,809,La Ronge Aviation Services,3567
13807,1,970,Canadian Armed Forces,251
G-BMDT,1,1545,Air Furness,6810
63-7983,1,378,USAF,2244
N76GC,1,1546,Grand Canyon Airlines,10576
HK-1808,1,11,L.A. Suramericanas,7271
ET-AIQ,1,971,Ethiopian Airlines,6008
CCCP-65142,1,951,"Aeroflot, Privolzhsk",4495
N40443,1,253,Frontier Airways,9432
43-16395,1,12,Turkish AF,915
N243DH,1,1494,DHL Airways,8912
CCCP-65120,1,1495,"Aeroflot, Komi",4493
A4-264,1,623,RAAF,3009
7312,1,32,Zimbabwe AF,2440
CCCP-70124,1,537,"Aeroflot, Yakutsk",4558
C-GGPW,1,1244,Pacific Western,3626
LV-LOA,1,828,Aerolineas Argentinas,8076
F-ZBBU,1,125,Securité Civile,6395
C-GQBH,1,1547,Quebecair,3729
N27PR,1,24,Borinquen Air,9010
JA8246,1,1548,Yomiuri Shimbun,7807
V2-LCY,1,1549,LIAT,13931
TU-TIF,1,843,Air Ivoire,13782
SP-WZH,1,537,ZUA,13194
RP-C850,1,1157,Atlas,12996
N50HH,1,1280,American Agronomics Corp,9761
V2-LCJ,1,1420,LIAT,13930
5N-AWK,1,515,Kabo Air,1917
N921FP,1,1384,Federal Paper Board,11089
N184AT,1,1550,American Trans Air,8689
CCCP-40902,1,537,"Aeroflot, Far East",4258
FAH-556,1,1551,Honduras AF,6493
T-2702,1,872,Indonesian AF,13375
ST-ADY,1,877,Sudan Airways,13208
N252K,1,1063,Southwest Airlift,8934
F-GEFR,1,1128,Flandre Air,6269
VT-EAJ,1,1048,Indian Airlines,14363
XA-JED,1,830,Aeroméxico,14625
G-BCCU,1,1242,Kondair,6782
C-FBER,1,304,Pickle Lake Air Services,3355
N88JF,1,1033,Jet Way,10964
N656PA,1,911,Pan Am,10159
YR-AMF,1,969,Tarom,15068
56-0468,1,392,USAF,1658
DQ-FEC,1,1275,Fiji Air,5642
G-BDTP,1,1193,Kondair,6790
N219AS,1,1552,"Delta Connection, opb ASA",8840
VT-ELV,1,1553,Indian Airlines,14396
N64,1,1119,FAA,10120
3D-ART,1,1020,Rembrandt Tobacco,748
PK-ESC,1,901,East Indonesia Air Taxi,11870
N15ST,1,1083,Southern Air Transport,8592
HPF821,1,977,Corporate Air Services,7547
CCCP-02592,1,537,"Aeroflot, Yakutsk",3951
N5903,1,360,"USAID, opb T & G Aviation",9977
SE-DBM,1,1554,SAS,13067
CCCP-67264,1,1278,"Aeroflot, Yakutsk",4538
148,1,1555,Chilean Navy,316
EP-IRG,1,1556,Iran Air,5917
65-0246,1,1307,USAF,2300
A65-114,1,12,RAAF,3029
PZ-TCD,1,971,Surinam Airways,12551
C9-CAA,1,1557,Mozambique Government,3840
OY-KGL,1,1554,SAS,11617
CCCP-65766,1,951,"Aeroflot, North Kavkaz",4509
N406TH,1,901,Arctic Circle Air Service,9441
AP-AUX,1,843,PIA,3111
N51DB,1,1391,private,9800
N752N,1,907,Piedmont Airlines,10519
HS-TAE,1,1558,Thai Airways International,7587
N604SS,1,47,Virgin Islands Seaplane Shuttle,10009
N778L,1,304,private,10602
CN-CDE,1,1206,RAM,5157
N4743,1,1254,Pan Am,9637
N711WM,1,1404,Barbary Coast Hotel & Casino,10345
N78L,1,1128,American Aviation,10640
N714DA,1,1082,Delta Air Lines,10355
D-IEXA,1,848,Extra Executive Transport,5548
HK-2850,1,1559,Aerosucre Colombia,7321
2355,1,1036,Brazilian AF,582
N930MA,1,809,Eastern Metro,11126
N830JS,1,1560,"Piedmont Commuter, opb Jetstream International",10797
210,1,1218,Hungarian AF,523
CCCP-88288,1,1474,MAP Moscow,4797
N65TD,1,1104,Teledyne Industries,10172
C-GKRL,1,1544,Syncrude Canada,3679
CCCP-65795,1,951,"Aeroflot, Belarus",4510
B-3413,1,969,CAAC,3272
5N-AWS,1,1561,Radio Communications,1918
8R-GES,1,1467,Guyana AF,2614
N431CA,1,1445,Latin Air Service,9500
C-FCMY,1,1215,Nahanni Air Services,3371
N96361,1,1562,Central Air Services,11229
YI-AGJ,1,1563,Iraqi Airways,15020
DQ-FEF,1,1564,Sunflower Airlines,5644
CCCP-67428,1,1217,"Aeroflot, Krasnoyarsk",4545
T.12B-32,1,1175,Spanish AF,13417
PP-VJK,1,829,Varig,12322
SE-DEC,1,1565,Transwede,13069
9Q-CAG,1,11,Kinair Cargo,2827
OD-AHB,1,855,MEA,11468
5N-ANR,1,1071,Nigeria Airways,1904
R109,1,499,Angolan AF,12560
C-GIRH,1,1120,Trillium Air,3645
N906TC,1,866,Mid Pacific Airlines,11031
D2-FA.,1,1537,Angolan AF,5580
84-0121,1,1566,USAF,2543
HB-VGC,1,1245,Fidinam Fiduciara,7056
N163SW,1,1264,SkyWest Airlines,8604
R108,1,499,Angolan AF,12559
PT-TCP,1,1567,Transbrasil,12528
CCCP-87618,1,916,"Aeroflot, Uzbekistan",4770
N9613F,1,1520,California Air Charter,11222
G-BMAU,1,449,BMA,6809
R102,1,499,Angolan AF,12558
BNMAU-7710,1,969,MIAT,3333
CCCP-87696,1,916,"Aeroflot, Northern",4776
PT-LCF,1,449,Brasil Central,12449
ARU-021,1,1568,Liberian Army,3148
CP-909,1,52,TASMI,5306
UD.13-18,1,1181,Spanish AF,13808
D-IEWK,1,1126,RFG,5547
F-GDHR,1,1384,Aero France,6266
P2-RDM,1,1417,Talair,11714
8Q-GIA,1,971,Inter Atoll Air,2585
CCCP-11378,1,850,"Aeroflot, Magadan",4088
G-OCME,1,1242,Air West,6885
808,1,1569,Zimbabwe AF,2527
N699CA,1,848,Catskill Airways,10269
60-0330,1,378,USAF,2111
N93218,1,1570,IAI,11133
JA8825,1,1571,Japan Maritime Safety Agency,7830
SE-DAT,1,1554,SAS,13065
PK-VIR,1,1157,Dirgantara Air Services,12068
N356PS,1,1572,PSA,9278
5A-DOM,1,1083,Libyan Arab Airlines,1840
N160FB,1,1445,"Northwest Airlink, opb Fischer Brothers Aviation",8597
N890AC,1,1417,Mid-Continent Airlines,10968
CCCP-26007,1,1174,"Aeroflot, Tajikistan",4151
N78B,1,1573,International Flight Center,10639
N49454,1,10,Aero Express,9698
C-GJWW,1,1126,Soundair,3660
CU-T1262,1,969,Cubana,5366
CCCP-09334,1,905,Soviet AF,4039
60-0361,1,378,USAF,2116
8213,1,1218,Libyan Arab Rep. Air Force,2530
N73107,1,609,"Metroflight, op.for American Eagle",10413
ARV-0402,1,1574,Venezuelan Navy,3151
2324,1,1524,Brazilian AF,570
N31SK,1,1158,Connie Kalitta,9165
SP-DNM,1,724,ZUA,13103
CCCP-76679,1,1575,Soviet AF,4655
CCCP-76685,1,1575,Soviet AF,4656
PK-GNQ,1,830,Garuda,11903
N811BE,1,1576,Business Express,10731
N517SJ,1,1083,Southern Air Transport,9791
PT-TCO,1,1301,Transbrasil,12526
N144SP,1,1577,Burlington Air Express,8536
ZS-KMT,1,1206,Barlow Rand,15425
VT-DFM,1,64,"Air Works India, op.for ONGC",14306
N20DA,1,901,Air Cargo Carriers,8814
C-FRWK,1,304,Propair,3517
R34,1,499,Angolan AF,12561
N505LB,1,1264,Air-Lift Commuter,9752
CCCP-62566,1,109,"Aeroflot, Yakutsk",4481
RP-C189,1,17,Unknown,12948
A4O-CP,1,1578,Oman Police,3012
HS-THI,1,647,Thai Airways,7602
P-817,1,1579,Indonesian Navy,11647
2008,1,5,TAM Paraguay,491
N432CA,1,1445,"American Eagle, opb Executive Air Charter",9502
CP-1650,1,1117,Frigorifico Reyes,5211
SP-LBG,1,1211,LOT,13124
C-FADD,1,1580,Northland Air Manitoba,3337
N100EP,1,1245,Corporate Jets,8241
N8504X,1,1379,Northern Pacific Transport,10853
CP-1018,1,971,YPFB,5169
PK-NUW,1,971,Merpati Nusantara,12012
PK-MAM,1,861,MAF,11973
N331CY,1,1581,"Continental Express, opb Air New Orleans",9195
CCCP-70501,1,537,"Aeroflot, Latvia",4572
HB-HOS,1,23,Ju-Air,7008
D-IAEC,1,1303,Travel Air,5533
YV-230C,1,708,Rutaca,15186
N766AS,1,1582,Alaska Airlines,10565
308,1,1191,Oman AF,656
YA-BAL,1,1174,Bakhtar Afghan,14989
C-FWGE,1,722,Athabaska Airways,3555
CCCP-67239,1,1278,"Aeroflot, Yakutsk",4536
CCCP-70129,1,537,"Aeroflot, Yakutsk",4559
2185,1,1207,Brazilian AF,543
B-2514,1,1583,CAAC,3240
C-GPFG,1,9,Calm Air International,3719
CP-1570,1,253,CAMBA,5205
FAP-392,1,1218,Peruvian AF,6513
CCCP-87826,1,916,"Aeroflot, Ukraine",4788
P2-KAD,1,1120,Kiunga Aviation,11691
XY-ADP,1,449,Burma Airways,14959
N20ST,1,1083,Southern Air Transport,8819
N859DD,1,1544,Private,10874
HC-BAZ,1,647,TAME Ecuador,7087
VP-FBG,1,1148,FIGAS,14165
N617MS,1,1465,Midwest Energy Development,10054
RP-C1015,1,647,Philippine Air Lines,12928
68-10945,1,649,USAF,2370
VT-DMB,1,420,Vayudoot,14331
HA-MBS,1,537,Ministry for Agriculture and Nutrition,6982
YR-PBE,1,109,Aviatia Utilitara,15106
N28364,1,1584,KDD Aviation,9024
N1870S,1,1544,private,8698
EC-CKL,1,1215,Aerovisión,5727
C-FPQP,1,321,Gouvernement du Québec,3497
ZK-NMD,1,1585,Air Safaris & Services,15365
CCCP-40556,1,702,"Aeroflot, Yakutsk",4247
CCCP-65874,1,1557,"Aeroflot, Ukraine",4519
TU-TAL,1,1071,Air Afrique,13778
PT-GKT,1,1243,Rio Sul,12418
N39DT,1,105,La Mesa Leasing,9385
HI-481,1,837,Belize Air Int.,7146
PH-MKH,1,1586,Fokker,11774
N28ST,1,619,DHL Airways,9047
CCCP-02763,1,702,"Aeroflot, Yakutsk",3954
CC-CHJ,1,891,LAN Chile,3886
5A-DKK,1,1315,Libyan Arab Rep. Air Force,1823
CCCP-28741,1,1587,"Aeroflot, Komi",4169
5Y-DAK,1,5,Sunbird Aviation,2041
N312RC,1,1588,Northwest Airlines,9142
N908AX,1,857,Airborne Express,11046
N951R,1,1589,Rosenbalm Aviation,11199
G-BLDX,1,1475,Air Furness,6807
N609TW,1,1590,TWA,10016
CCCP-01641,1,537,"Aeroflot, West Siberia",3930
N93012,1,1591,The Collings Foundation,11117
CCCP-70496,1,537,"Aeroflot, Ukraine",4571
HS-TBC,1,1506,Thai Airways,7589
N807LA,1,1520,Martinaire,10711
CCCP-12971,1,850,"Aeroflot, Magadan",4108
2129,1,1592,Brazilian AF,535
5N-AUG,1,1593,Nigeria Airways,1916
SP-WMS,1,537,ZUA,13169
N96271,1,1594,Black Hills Aviation,11227
G-WSJE,1,1206,National Airways,6916
N48076,1,1373,Hawkins & Powers,9653
82-0190,1,1595,USAF,2528
6843,1,1596,South African AF,2375
SU-BCA,1,1177,EgyptAir,13301
CCCP-67249,1,1597,"Aeroflot, Yakutsk",4537
N2689E,1,1390,Horizon Air,8972
12-036,1,32,Turkish AF,112
EC-ECB,1,1598,Air Truck / DHL,5736
N32RL,1,1128,Avantair,9190
N9231,1,1016,Connie Kalitta,11093
EC-EFI,1,984,Drenair,5737
HK-2920,1,1420,Aeroejecutivos Colombia,7327
XY-AEL,1,883,Burma Airways,14970
HB-ILF,1,1083,Zimex Aviation,7026
I-ATRH,1,1599,ATI,7655
N121FJ,1,1020,Falcon Jet,8391
CCCP-67334,1,1217,"Aeroflot, Privolzhsk",4544
CCCP-12162,1,1600,MAP Kom na Amu APO,4102
G-MDJI,1,1544,Artix,6879
N828FE,1,1601,Federal Express,10791
N3411,1,715,SMB Stage Line,9231
N25MR,1,1148,Onyx Aviation,8947
7Q-YMB,1,1353,Air Malawi,2493
C-GVYX,1,1286,Kenn Borek Air,3783
N626TX,1,706,Continental Air Lines,10083
TT-PAC,1,392,Chad AF,13775
N334DP,1,1206,Danpar Aviation,9214
P2-006,1,12,PNG Defence Force,11652
OH-CAR,1,1102,Air Carelia,11499
N10AS,1,959,Connie Kalitta,8309
2034,1,5,TAM Paraguay,500
F-GCTE,1,1264,Compagnie Aérienne du Languedoc,6264
N401RA,1,1602,Ryan Air Service,9414
ZK-SFB,1,1520,Skyferry,15373
ZS-SAS,1,1603,South African Airways,15472
HL7406,1,1604,Korean Air,7490
4X-FBU/448,1,1092,Israeli AF,1310
C-GOMC,1,976,Wilderness Airline,3712
N400PH,1,1605,Scott Cable Communications,9406
N319AU,1,1606,USAir,9161
N350PS,1,1607,PSA,9260
HS-THH,1,647,Bangkok Airways,7601
N400NY,1,1608,Nicole Corp.,9404
CP-1059,1,1049,TASMI,5173
AE-560,1,872,Peruvian Navy,3056
P2-MIB,1,1609,Talair,11706
159131,1,1030,US Navy,395
IN-132,1,1261,Indian AF,7737
EI-BTJ,1,1610,Philippine Air Lines,5797
N331PX,1,1581,"Northwest Airlink, opb Express Airlines",9198
2468,1,1092,Brazilian AF,606
CCCP-06324,1,537,"Aeroflot, North Kavkaz",4003
N23AZ,1,1264,AVAir,8897
F-GEGH,1,1552,"Air Littoral, op.for Air France",6270
YN-BFO,1,1117,Aeronica,15052
PH-BDE,1,1611,KLM,11733
N8948E,1,857,Eastern Air Lines,10977
ET-AGO,1,5,Ethiopian Airlines,5995
PK-NUY,1,971,Merpati Nusantara,12013
D-ABHD,1,1612,Condor Flugdienst,5424
D2-TYD,1,1232,TAAG,5616
